"names","means_bdt","sigmas_bdt","means_C","sigmas_C","means_abs_ljet_eta","sigmas_abs_ljet_eta","means_bdt_2j_1t","sigmas_bdt_2j_1t","means_bdt_3j_2t","sigmas_bdt_3j_2t"
"beta_signal",1.0569152165102718,0.038939327529237046,1.2663787139035885,0.04650122854850259,1.0664589698865075,0.05039186496854903,1.0265907248388104,0.045142179957388305,1.2773422371844592,0.18409582964695076
"ttjets",1.0962227768643074,0.01275395104954238,1.0620037871513444,0.014331530328915739,1.095907396879378,0.014247104888042704,1.0811233528751154,0.026952467138884356,1.0334892446576776,0.045532907815370186
"wzjets",1.4328887889057225,0.08579387163936243,1.2921742101362896,0.09753628579725658,1.423453951502238,0.09901116006131172,1.5210813687370635,0.14473828395437793,4.7710181449500215,2.7803114974876877
