"bin_edges","bin_contents","bin_entries","bin_errors"
-Inf,0.0,0.0,0.0
-1.0,1.2302568921290324,6488.346591869149,0.01527315595266539
-0.9310344827586208,1.1591469895573945,6364.06984691088,0.014530181623613102
-0.8620689655172413,1.1804055313066417,6327.241592101203,0.014839662615194572
-0.7931034482758621,1.1326778453283204,6267.489184177997,0.014307363440982797
-0.7241379310344827,1.0948602642154222,6084.121877497133,0.014036529461628379
-0.6551724137931034,1.0450639549487715,6110.21205018613,0.013369486519271882
-0.5862068965517242,1.0711538110985974,6102.382855758583,0.013712041269943869
-0.5172413793103448,1.052394853794697,6014.7804954860385,0.013569655569164105
-0.4482758620689655,1.007230926579945,5915.721758934828,0.013095593405725123
-0.37931034482758624,1.0117044409898068,5966.820723912741,0.013097311650061368
-0.31034482758620685,1.0210094644650887,5973.794196537429,0.013210055419043234
-0.24137931034482762,0.9820197125810918,5907.211043454194,0.01277700198397045
-0.17241379310344823,0.9974321403733514,6069.979201472945,0.01280235179391458
-0.10344827586206895,0.9733034501012134,5996.4358852648,0.01256902718596186
-0.03448275862068967,0.9644185924195235,6009.590108035111,0.012440652193801853
0.03448275862068967,0.9446800557335838,6070.099380528042,0.012125142346128964
0.10344827586206895,0.9794954784797626,6221.8882891723915,0.012417704786858967
0.17241379310344823,0.9719869914108603,6178.9432485322895,0.012365262757208343
0.24137931034482762,0.9161826863439024,6159.718922051579,0.011673514655046815
0.31034482758620685,0.9194384542427575,6302.958718190387,0.011581116548197098
0.37931034482758624,0.9442134286113535,6457.710998307953,0.011749810708467458
0.4482758620689655,0.9285992272593485,6543.463685807867,0.01147953957658816
0.5172413793103448,0.9122045438788469,6618.42965936596,0.011212817469650086
0.5862068965517242,0.9271513127997282,6706.475987471725,0.011321485915709759
0.6551724137931034,0.9137258425272803,6858.371053003533,0.011033299802275916
0.7241379310344827,0.9446682540682463,6936.7533785662645,0.011342301664852002
0.7931034482758621,0.9831945849745274,6955.3792088827195,0.011789057110024762
0.8620689655172413,0.9661506868992954,6598.601615424701,0.011893752925940729
0.9310344827586208,0.9932060972740315,3919.2445623342182,0.015864931262467512
1.0,0.0,0.0,0.0
Inf,0.0,0.0,0.0
