"bin_edges","bin_contents","bin_entries","bin_errors"
-Inf,0.0,0.0,0.0
-1.0,1.0646099037212513,4028.8777839471895,0.016772525287634663
-0.9310344827586208,1.1193505083288584,4220.00738159915,0.017230960843115893
-0.8620689655172413,1.0664317506348224,4343.990234151914,0.016180377382037987
-0.7931034482758621,1.0258558686058419,4354.996871978616,0.015545060748376858
-0.7241379310344827,1.0594344835149259,4414.582561338499,0.015945174740996115
-0.6551724137931034,1.0527607458095551,4471.0102566945725,0.015744426651027005
-0.5862068965517242,0.9739881889627485,4436.500360410314,0.014622897301001879
-0.5172413793103448,0.9933270367990977,4492.043757549139,0.014820752929014774
-0.4482758620689655,0.94997433403905,4448.020317145689,0.014243886051323002
-0.37931034482758624,0.9847069833273681,4397.996083039561,0.014848397958037218
-0.31034482758620685,0.9769088442233573,4435.794383205008,0.014667913429578903
-0.24137931034482762,0.9677804834723479,4414.3317913276105,0.014566136433385304
-0.17241379310344823,0.9430072914036685,4416.912978369384,0.014189125477775965
-0.10344827586206895,0.937373719311664,4416.588776245084,0.014104876601609225
-0.03448275862068967,0.9558321855902864,4399.589324437031,0.014410384888290412
0.03448275862068967,0.9255665481521375,4369.890817750489,0.014001428818453605
0.10344827586206895,0.9423588286663627,4342.85624048277,0.014299754351726417
0.17241379310344823,0.9609068551791063,4359.3345323741005,0.01455362541693704
0.24137931034482762,0.9557817748862399,4404.105919697055,0.014402234150285468
0.31034482758620685,0.981353685087332,4366.66573049486,0.014850825111662495
0.37931034482758624,0.9636458323383202,4282.986541435198,0.01472461989497926
0.4482758620689655,0.9712494576656827,4334.376174838637,0.014752563377868054
0.5172413793103448,1.0169256186861957,4290.304993407098,0.015525482460398617
0.5862068965517242,0.9786413952963554,4237.571155516941,0.015033672322923273
0.6551724137931034,1.0163333904139944,4156.416113744076,0.015764372345973263
0.7241379310344827,1.029268816649332,4118.5758317902155,0.016038187335468967
0.7931034482758621,1.041445222732857,3981.6974857567498,0.016504497327510675
0.8620689655172413,1.1008256088072326,3649.9360966013164,0.01822115463014871
0.9310344827586208,1.2979166606643058,1957.9663479923518,0.029332170155565725
1.0,0.0,0.0,0.0
Inf,0.0,0.0,0.0
