"edges","entries","contents"
-Inf,0.0,0.0
-1.0,7655.692976318622,1.206247332850646
-0.9310344827586208,7578.168533852899,1.1858962433536995
-0.8620689655172413,7570.118991904032,1.1638245738666242
-0.7931034482758621,7350.889314543712,1.1241780578149971
-0.7241379310344827,7226.928344559444,1.0822010405441695
-0.6551724137931034,7266.496354321958,1.0798284046045659
-0.5862068965517242,7249.985671869467,1.0738114985778064
-0.5172413793103448,7087.645912795323,1.0514413655139743
-0.4482758620689655,7132.027858957201,1.0473491390766083
-0.37931034482758624,7082.829310814492,1.0141060835603237
-0.31034482758620685,6977.018314818353,0.986628742078862
-0.24137931034482762,7044.754356914056,0.990147351749646
-0.17241379310344823,7114.104182265482,0.9816779440890789
-0.10344827586206895,7136.666489897651,0.9845150463701675
-0.03448275862068967,7117.990477948934,0.960340800336657
0.03448275862068967,7192.9570221369695,0.9607730158778607
0.10344827586206895,7332.312131164365,0.9712213234940587
0.17241379310344823,7289.237077471106,0.9594766849340339
0.24137931034482762,7347.321269001322,0.9208391896361949
0.31034482758620685,7543.617624690268,0.9407334644206141
0.37931034482758624,7625.220076293755,0.9389957774312301
0.4482758620689655,7666.04357174925,0.9166353495117013
0.5172413793103448,7862.884265249538,0.9262811463267239
0.5862068965517242,7997.24194346926,0.9342888643908579
0.6551724137931034,8026.453266576574,0.9130009999003722
0.7241379310344827,8201.049145860708,0.9487905663710442
0.7931034482758621,8122.951383890596,0.9529296432853358
0.8620689655172413,7649.887647710487,0.9617257059433476
0.9310344827586208,3923.594723260366,0.9954377233917049
1.0,0.0,0.0
Inf,0.0,0.0
